sensor_index,name,location_type,latitude,longitude
37217,"Forrester drive, Los Angeles, Ca 90064",0,34.040783,-118.402084
34481,Playa Vista,0,33.971844,-118.42094
42251,HW Upper School,0,34.14062,-118.41295
78635,Baltimore St,0,34.118977,-118.21224
27109,AQMD_NASA_248,0,34.16477,-118.59115
489,CCA Lakme an Q,0,33.79555,-118.26094
1846,AQMD_NASA_8,0,34.094692,-118.34805
49327,MVT Outside,0,34.104347,-118.271454
9274,CCA Crownridge and Royal Woods,0,34.133804,-118.47423
29201,CCA La Kretz Innovation Center LACI,0,34.041237,-118.23559
86933,Lincoln Heights,0,34.0736,-118.20003
64765,Riverwood ranch,0,34.275894,-118.318
55955,charliex,0,34.23733,-118.55244
30391,CCA 23rd and Meyler,0,33.723373,-118.29684
37551,Granada Hills,0,34.280663,-118.471855
39327,Toluca Lake,0,34.146706,-118.35982
