sensor_index,name,location_type,latitude,longitude
6450,AQMD_NASA_41,0,34.081703,-118.3675
78635,Baltimore St,0,34.118977,-118.21224
84069,Tarzana-Aleman,0,34.147762,-118.564156
85359,Hollywoodland,0,34.121635,-118.32282
29697,CSUN Live Oak,0,34.23818,-118.528336
20700,Gallery Lane,0,34.157288,-118.38509
86075,Beverly Glen,0,34.124817,-118.44569
81379,OceanView,0,34.006416,-118.434204
86559,"Lower Peck Park, San Pedro, CA",0,33.75025,-118.29792
49327,MVT Outside,0,34.104347,-118.271454
84137,Westwood - Glenmont,0,34.06528,-118.436424
87181,Granada Hills,0,34.304108,-118.51413
87355,"Encino, Luverne Pl",0,34.14827,-118.5075
1128,USCEHC Lincoln Heights,0,34.06846,-118.20639
28529,R1180_LEEW,0,33.777233,-118.243095
85645,AEnv,0,34.26045,-118.33701
