sensor_index,name,location_type,latitude,longitude
37217,"Forrester drive, Los Angeles, Ca 90064",0,34.040783,-118.402084
15901,Colfax Meadows,0,34.14978,-118.383026
1846,AQMD_NASA_8,0,34.094692,-118.34805
81379,OceanView,0,34.006416,-118.434204
78635,Baltimore St,0,34.118977,-118.21224
49327,MVT Outside,0,34.104347,-118.271454
86559,"Lower Peck Park, San Pedro, CA",0,33.75025,-118.29792
85645,AEnv,0,34.26045,-118.33701
86075,Beverly Glen,0,34.124817,-118.44569
37551,Granada Hills,0,34.280663,-118.471855
28529,R1180_LEEW,0,33.777233,-118.243095
29201,CCA La Kretz Innovation Center LACI,0,34.041237,-118.23559
32961,Kentwood South,0,33.963356,-118.406586
27109,AQMD_NASA_248,0,34.16477,-118.59115
87355,"Encino, Luverne Pl",0,34.14827,-118.5075
84323,Lockhurst Sensor,0,34.18091,-118.647896
