sensor_index,name,location_type,latitude,longitude
77657,Miracle Mile,0,34.058422,-118.357635
61565,Back garden,0,34.026264,-118.43475
84323,Lockhurst Sensor,0,34.18091,-118.647896
26479,"Valley Vista Blvd and Stone Canyon Ave, Sherman Oaks",0,34.14562,-118.46077
34481,Playa Vista,0,33.971844,-118.42094
489,CCA Lakme an Q,0,33.79555,-118.26094
64765,Riverwood ranch,0,34.275894,-118.318
86559,"Lower Peck Park, San Pedro, CA",0,33.75025,-118.29792
55955,charliex,0,34.23733,-118.55244
20704,Mt. Washington School,0,34.105556,-118.21524
20700,Gallery Lane,0,34.157288,-118.38509
49327,MVT Outside,0,34.104347,-118.271454
87181,Granada Hills,0,34.304108,-118.51413
84069,Tarzana-Aleman,0,34.147762,-118.564156
29201,CCA La Kretz Innovation Center LACI,0,34.041237,-118.23559
85359,Hollywoodland,0,34.121635,-118.32282
