date_local,pm1.0_cf_1,pm2.5_cf_1,pm10.0_cf_1,pm2.5_aqi,pm10.0_aqi,aqi,sensor_index,sensor_name
2021-02-26 16:00:00,2.295,3.817,4.539,16,4,16,27109,AQMD_NASA_248
2021-02-27 16:00:00,0.191,0.6174999999999999,1.081,3,1,3,27109,AQMD_NASA_248
2021-02-28 16:00:00,0.3625,1.0165,1.378,4,1,4,27109,AQMD_NASA_248
2021-03-01 16:00:00,1.14,2.12,2.6545,9,2,9,27109,AQMD_NASA_248
2021-03-02 16:00:00,4.7605,8.33,9.863,35,9,35,27109,AQMD_NASA_248
2021-03-03 16:00:00,5.9365000000000006,9.5045,10.741499999999998,40,10,40,27109,AQMD_NASA_248
2021-03-04 16:00:00,3.1665,4.797000000000001,5.572,20,5,20,27109,AQMD_NASA_248
2021-03-05 16:00:00,4.7435,7.638,9.1605,32,8,32,27109,AQMD_NASA_248
2021-03-06 16:00:00,8.7695,16.4485,19.354,60,18,60,27109,AQMD_NASA_248
2021-03-07 16:00:00,4.635,7.795,9.451,32,9,32,27109,AQMD_NASA_248
2021-03-08 16:00:00,1.816,4.1435,6.2845,17,6,17,27109,AQMD_NASA_248
2021-03-09 16:00:00,1.145,2.41,3.242,10,3,10,27109,AQMD_NASA_248
2021-03-10 16:00:00,2.6645000000000003,5.0365,5.938000000000001,21,5,21,27109,AQMD_NASA_248
2021-03-11 16:00:00,4.387499999999999,6.49,7.215999999999999,27,7,27,27109,AQMD_NASA_248
2021-03-12 16:00:00,10.1955,15.4685,17.317,58,16,58,27109,AQMD_NASA_248
2021-03-13 16:00:00,8.035499999999999,12.9895,16.232,53,15,53,27109,AQMD_NASA_248
2021-03-14 17:00:00,3.5860000000000003,5.7615,7.022500000000001,24,7,24,27109,AQMD_NASA_248
2021-03-15 17:00:00,1.0055,2.264,3.419,9,3,9,27109,AQMD_NASA_248
2021-03-16 17:00:00,3.831,6.505,8.18,27,8,27,27109,AQMD_NASA_248
2021-03-17 17:00:00,5.5145,8.542,10.3155,36,10,36,27109,AQMD_NASA_248
2021-03-18 17:00:00,2.396,3.993,5.0845,17,5,17,27109,AQMD_NASA_248
2021-03-19 17:00:00,1.81,3.874,4.6765,16,4,16,27109,AQMD_NASA_248
2021-03-20 17:00:00,1.167,2.183,2.9075,9,3,9,27109,AQMD_NASA_248
2021-03-21 17:00:00,0.8755,1.781,2.408,7,2,7,27109,AQMD_NASA_248
2021-03-22 17:00:00,2.3675,5.3825,8.0735,22,7,22,27109,AQMD_NASA_248
2021-03-23 17:00:00,0.304,0.8465,1.285,4,1,4,27109,AQMD_NASA_248
2021-03-24 17:00:00,2.259,4.577999999999999,6.6575,19,6,19,27109,AQMD_NASA_248
2021-03-25 17:00:00,1.735,3.5985,5.307499999999999,15,5,15,27109,AQMD_NASA_248
2021-03-26 17:00:00,2.6895,4.4325,5.668,18,5,18,27109,AQMD_NASA_248
2021-03-27 17:00:00,0.8345,1.6635,2.2395,7,2,7,27109,AQMD_NASA_248
2021-03-28 17:00:00,1.8845,3.0155000000000003,3.7025,13,3,13,27109,AQMD_NASA_248
2021-03-29 17:00:00,7.4055,13.68,17.162,54,16,54,27109,AQMD_NASA_248
2021-03-30 17:00:00,3.165,5.4485,7.1065000000000005,23,7,23,27109,AQMD_NASA_248
2021-03-31 17:00:00,1.456,2.9000000000000004,3.812,12,4,12,27109,AQMD_NASA_248
2021-04-01 17:00:00,4.5755,7.576,9.2275,32,9,32,27109,AQMD_NASA_248
2021-04-02 17:00:00,12.188,20.901,24.172,70,22,70,27109,AQMD_NASA_248
2021-04-03 17:00:00,5.493,8.7495,10.268,36,10,36,27109,AQMD_NASA_248
2021-04-04 17:00:00,5.6865000000000006,9.77,12.1095,41,11,41,27109,AQMD_NASA_248
2021-04-05 17:00:00,6.076,11.3275,14.408,47,13,47,27109,AQMD_NASA_248
2021-04-06 17:00:00,6.0185,10.5115,13.0475,44,12,44,27109,AQMD_NASA_248
2021-04-07 17:00:00,5.332000000000001,9.0705,11.4225,38,11,38,27109,AQMD_NASA_248
2021-04-08 17:00:00,2.787,5.9215,8.8215,25,8,25,27109,AQMD_NASA_248
2021-04-09 17:00:00,3.5965,6.8255,9.38,28,9,28,27109,AQMD_NASA_248
2021-04-10 17:00:00,5.731,10.653,14.5075,44,13,44,27109,AQMD_NASA_248
2021-04-11 17:00:00,8.184000000000001,15.407,20.4525,58,19,58,27109,AQMD_NASA_248
2021-04-12 17:00:00,6.7165,12.074,16.0425,50,15,50,27109,AQMD_NASA_248
2021-04-13 17:00:00,3.81,7.428,10.5705,31,10,31,27109,AQMD_NASA_248
2021-04-14 17:00:00,4.2235,7.8475,11.108,33,10,33,27109,AQMD_NASA_248
2021-04-15 17:00:00,7.9045,15.55,19.6775,58,18,58,27109,AQMD_NASA_248
2021-04-16 17:00:00,8.437000000000001,14.044,17.4815,55,16,55,27109,AQMD_NASA_248
2021-04-17 17:00:00,2.7585,4.3175,5.252000000000001,18,5,18,27109,AQMD_NASA_248
2021-04-18 17:00:00,2.1665,3.4385,4.084,14,4,14,27109,AQMD_NASA_248
2021-04-19 17:00:00,7.5215,12.614,15.702,52,15,52,27109,AQMD_NASA_248
2021-04-20 17:00:00,7.5915,12.5385,15.8275,52,15,52,27109,AQMD_NASA_248
2021-04-21 17:00:00,4.7165,7.538,9.0265,31,8,31,27109,AQMD_NASA_248
2021-04-22 17:00:00,6.43,10.719,12.4475,45,12,45,27109,AQMD_NASA_248
2021-04-23 17:00:00,6.5885,11.0455,12.846,46,12,46,27109,AQMD_NASA_248
2021-04-24 17:00:00,5.0765,8.925,10.8955,37,10,37,27109,AQMD_NASA_248
2021-04-25 17:00:00,0.8640000000000001,1.748,2.335,7,2,7,27109,AQMD_NASA_248
2021-04-26 17:00:00,1.2029999999999998,2.4095,3.4965,10,3,10,27109,AQMD_NASA_248
2021-04-27 17:00:00,1.307,2.3875,3.148,10,3,10,27109,AQMD_NASA_248
2021-04-28 17:00:00,2.3795,3.5725,4.1915,15,4,15,27109,AQMD_NASA_248
2021-04-29 17:00:00,2.9415,4.388,5.183999999999999,18,5,18,27109,AQMD_NASA_248
2021-04-30 17:00:00,5.431,8.343499999999999,10.418,35,10,35,27109,AQMD_NASA_248
2021-05-01 17:00:00,8.1935,14.486,17.471,56,16,56,27109,AQMD_NASA_248
2021-05-02 17:00:00,5.0975,8.721499999999999,10.7425,36,10,36,27109,AQMD_NASA_248
2021-05-03 17:00:00,4.170999999999999,8.584,12.536,36,12,36,27109,AQMD_NASA_248
2021-05-04 17:00:00,6.652,11.4395,14.4785,48,13,48,27109,AQMD_NASA_248
2021-05-05 17:00:00,9.4125,18.1595,21.9145,64,20,64,27109,AQMD_NASA_248
2021-05-06 17:00:00,10.4795,20.3525,23.975,68,22,68,27109,AQMD_NASA_248
2021-05-07 17:00:00,8.866,16.7475,19.5355,61,18,61,27109,AQMD_NASA_248
2021-05-08 17:00:00,9.5095,17.339,20.7195,62,19,62,27109,AQMD_NASA_248
2021-05-09 17:00:00,7.8285,13.408,16.4285,54,15,54,27109,AQMD_NASA_248
2021-05-10 17:00:00,8.735,15.3965,18.856,58,17,58,27109,AQMD_NASA_248
2021-05-11 17:00:00,9.775,18.098,21.1595,64,20,64,27109,AQMD_NASA_248
2021-05-12 17:00:00,11.5175,20.237,23.272,68,22,68,27109,AQMD_NASA_248
2021-05-13 17:00:00,7.608,15.315,17.7595,58,16,58,27109,AQMD_NASA_248
2021-05-14 17:00:00,10.4645,16.362,18.3585,60,17,60,27109,AQMD_NASA_248
2021-05-15 17:00:00,36.3805,52.013,56.128,142,52,142,27109,AQMD_NASA_248
2021-05-16 17:00:00,26.2245,38.4085,42.015,108,39,108,27109,AQMD_NASA_248
2021-05-17 17:00:00,14.2505,25.2215,28.427,79,26,79,27109,AQMD_NASA_248
2021-05-18 17:00:00,10.587,19.753500000000003,22.7525,67,21,67,27109,AQMD_NASA_248
2021-05-19 17:00:00,3.5605,7.4565,11.0105,31,10,31,27109,AQMD_NASA_248
2021-05-20 17:00:00,1.7095,4.615500000000001,7.737999999999999,19,7,19,27109,AQMD_NASA_248
2021-05-21 17:00:00,2.7960000000000003,5.9865,9.122,25,8,25,27109,AQMD_NASA_248
2021-05-22 17:00:00,3.496,6.462,8.6715,27,8,27,27109,AQMD_NASA_248
2021-05-23 17:00:00,4.695,6.4545,7.564,27,7,27,27109,AQMD_NASA_248
2021-05-24 17:00:00,7.0920000000000005,8.578,9.4165,36,9,36,27109,AQMD_NASA_248
2021-05-25 17:00:00,4.195,7.0635,9.3835,29,9,29,27109,AQMD_NASA_248
2021-05-26 17:00:00,8.054,14.3235,18.3335,56,17,56,27109,AQMD_NASA_248
2021-05-27 17:00:00,10.417,19.052,22.7815,66,21,66,27109,AQMD_NASA_248
2021-05-28 17:00:00,8.807,15.943,19.066000000000003,59,18,59,27109,AQMD_NASA_248
2021-05-29 17:00:00,8.933499999999999,16.786,19.7585,61,18,61,27109,AQMD_NASA_248
2021-05-30 17:00:00,11.556,21.819000000000003,25.136000000000003,71,23,71,27109,AQMD_NASA_248
2021-05-31 17:00:00,13.5905,25.4035,29.0545,79,27,79,27109,AQMD_NASA_248
2021-06-01 17:00:00,10.297,17.436,19.5515,62,18,62,27109,AQMD_NASA_248
2021-06-02 17:00:00,10.3195,22.698,26.4575,73,24,73,27109,AQMD_NASA_248
2021-06-03 17:00:00,11.943,24.542,28.2125,77,26,77,27109,AQMD_NASA_248
2021-06-04 17:00:00,9.261500000000002,19.0425,21.880000000000003,66,20,66,27109,AQMD_NASA_248
2021-06-05 17:00:00,6.2010000000000005,12.4465,14.252,52,13,52,27109,AQMD_NASA_248
2021-06-06 17:00:00,5.721500000000001,9.417,10.587,39,10,39,27109,AQMD_NASA_248
2021-06-07 17:00:00,1.5905,2.785,3.483,12,3,12,27109,AQMD_NASA_248
2021-06-08 17:00:00,1.696,3.2075,4.3485,13,4,13,27109,AQMD_NASA_248
2021-06-09 17:00:00,0.434,1.234,2.0065,5,2,5,27109,AQMD_NASA_248
2021-06-10 17:00:00,1.428,2.9285,4.1665,12,4,12,27109,AQMD_NASA_248
2021-06-11 17:00:00,2.7815000000000003,4.801,6.226,20,6,20,27109,AQMD_NASA_248
2021-06-12 17:00:00,3.81,6.237,7.8275,26,7,26,27109,AQMD_NASA_248
2021-06-13 17:00:00,2.74,4.677,5.7025,19,5,19,27109,AQMD_NASA_248
2021-06-14 17:00:00,0.9755,1.806,2.3125,8,2,8,27109,AQMD_NASA_248
2021-06-15 17:00:00,3.085,5.401,7.308,23,7,23,27109,AQMD_NASA_248
2021-06-16 17:00:00,5.9665,9.6255,12.324,40,11,40,27109,AQMD_NASA_248
2021-06-17 17:00:00,8.775500000000001,15.063,17.180500000000002,57,16,57,27109,AQMD_NASA_248
2021-06-18 17:00:00,10.375,18.358,21.1655,64,20,64,27109,AQMD_NASA_248
2021-06-19 17:00:00,8.157499999999999,12.991,14.412,53,13,53,27109,AQMD_NASA_248
2021-06-20 17:00:00,8.2405,15.284,17.396,58,16,58,27109,AQMD_NASA_248
2021-06-21 17:00:00,5.4695,9.2595,10.836,39,10,39,27109,AQMD_NASA_248
2021-06-22 17:00:00,2.022,3.6195,4.4895,15,4,15,27109,AQMD_NASA_248
2021-06-23 17:00:00,1.343,2.4045,3.0485,10,3,10,27109,AQMD_NASA_248
2021-06-24 17:00:00,1.6455,2.8885,3.576,12,3,12,27109,AQMD_NASA_248
2021-06-25 17:00:00,3.5465,5.438,6.5015,23,6,23,27109,AQMD_NASA_248
2021-06-26 17:00:00,7.499,11.3495,12.998,47,12,47,27109,AQMD_NASA_248
2021-06-27 17:00:00,10.033,16.3955,18.8005,60,17,60,27109,AQMD_NASA_248
2021-06-28 17:00:00,12.2625,24.034,27.828000000000003,76,26,76,27109,AQMD_NASA_248
2021-06-29 17:00:00,9.0775,16.7255,18.6895,61,17,61,27109,AQMD_NASA_248
2021-06-30 17:00:00,9.4485,18.3435,20.702,64,19,64,27109,AQMD_NASA_248
2021-07-01 17:00:00,6.6370000000000005,10.385000000000002,11.583,43,11,43,27109,AQMD_NASA_248
2021-07-02 17:00:00,6.6895,10.4385,11.6275,43,11,43,27109,AQMD_NASA_248
2021-07-03 17:00:00,6.9795,12.4565,14.222,52,13,52,27109,AQMD_NASA_248
2021-07-04 17:00:00,19.7935,35.3625,39.593500000000006,100,37,100,27109,AQMD_NASA_248
2021-07-05 17:00:00,6.894,12.035,13.703499999999998,50,13,50,27109,AQMD_NASA_248
2021-07-06 17:00:00,6.5535,10.922,12.479500000000002,46,12,46,27109,AQMD_NASA_248
2021-07-07 17:00:00,8.7755,14.683,16.917,56,16,56,27109,AQMD_NASA_248
2021-07-08 17:00:00,8.465,13.7185,15.975,54,15,54,27109,AQMD_NASA_248
2021-07-09 17:00:00,6.429,10.417,12.2105,43,11,43,27109,AQMD_NASA_248
2021-07-10 17:00:00,3.7195,6.5295,8.078,27,7,27,27109,AQMD_NASA_248
2021-07-11 17:00:00,7.7535,14.2915,16.921,56,16,56,27109,AQMD_NASA_248
2021-07-12 17:00:00,8.0145,15.118,17.609,57,16,57,27109,AQMD_NASA_248
2021-07-13 17:00:00,6.687,12.5965,14.6215,52,14,52,27109,AQMD_NASA_248
2021-07-14 17:00:00,5.227,10.3315,11.9355,43,11,43,27109,AQMD_NASA_248
2021-07-15 17:00:00,5.7475000000000005,11.098,12.675,46,12,46,27109,AQMD_NASA_248
2021-07-16 17:00:00,5.3455,8.870000000000001,10.033,37,9,37,27109,AQMD_NASA_248
2021-07-17 17:00:00,6.424,10.517,11.9345,44,11,44,27109,AQMD_NASA_248
2021-07-18 17:00:00,4.881,8.1085,9.3425,34,9,34,27109,AQMD_NASA_248
2021-07-19 17:00:00,4.128,7.1595,8.4535,30,8,30,27109,AQMD_NASA_248
2021-07-20 17:00:00,5.0595,8.737,10.931,36,10,36,27109,AQMD_NASA_248
2021-07-21 17:00:00,5.111000000000001,9.505,12.157,40,11,40,27109,AQMD_NASA_248
2021-07-22 17:00:00,5.8565000000000005,11.0075,14.5,46,13,46,27109,AQMD_NASA_248
2021-07-23 17:00:00,9.3215,18.302,22.294,64,21,64,27109,AQMD_NASA_248
2021-07-24 17:00:00,7.406,13.2005,15.6285,53,14,53,27109,AQMD_NASA_248
2021-07-25 17:00:00,6.7925,11.594,13.4045,48,12,48,27109,AQMD_NASA_248
2021-07-26 17:00:00,9.349,17.0905,19.29,61,18,61,27109,AQMD_NASA_248
2021-07-27 17:00:00,5.702,9.674,10.862,40,10,40,27109,AQMD_NASA_248
2021-07-28 17:00:00,3.5835,6.3005,7.2835,26,7,26,27109,AQMD_NASA_248
2021-07-29 17:00:00,5.393,9.409,10.943,39,10,39,27109,AQMD_NASA_248
2021-07-30 17:00:00,5.9365,10.231,11.8715,43,11,43,27109,AQMD_NASA_248
2021-07-31 17:00:00,3.7765,6.348,7.192,26,7,26,27109,AQMD_NASA_248
2021-08-01 17:00:00,3.484,5.814,6.615,24,6,24,27109,AQMD_NASA_248
2021-08-02 17:00:00,3.6775,5.907500000000001,6.867,25,6,25,27109,AQMD_NASA_248
